file_name,user_name,notebook_name,libraries,num_lib
runzedong_titanic-1st-version.html,runzedong,titanic-1st-version,"['numpy', 'pandas', 'seaborn', 'matplotlib', 'sklearn', 'xgboost']",6
nazimonderorhan_getting-started-with-titanic.html,nazimonderorhan,getting-started-with-titanic,"['numpy', 'pandas', 'os', 'sklearn']",4
rohitvijay_titanic-prediction-using-logistic-regression.html,rohitvijay,titanic-prediction-using-logistic-regression,"['pandas', 'numpy', 'matplotlib', 'seaborn', 'sklearn']",5
rmelick_titanic-notebook-complete.html,rmelick,titanic-notebook-complete,[],0
kerneler_starter-titanic-all-zeros-csv-file-eb06f941-e.html,kerneler,starter-titanic-all-zeros-csv-file-eb06f941-e,"['libraries', 'mpl_toolkits', 'sklearn', 'matplotlib', 'numpy', 'os', 'pandas']",7
vitorishi_titanic-a-beginner-approach-with-neural-networks.html,vitorishi,titanic-a-beginner-approach-with-neural-networks,"['pandas', 'numpy', 'seaborn', 'matplotlib', 'sklearn', 'tensorflow']",6
penguincwarrior_a-journey-through-titanic.html,penguincwarrior,a-journey-through-titanic,"['pandas', 'numpy', 'matplotlib', 'seaborn', 'sklearn']",5
jingnanyang_titanic.html,jingnanyang,titanic,"['numpy', 'pandas', 'sklearn', 'os']",4
shari1_titanic.html,shari1,titanic,"['numpy', 'pandas', 'matplotlib', 'seaborn', 'sklearn']",5
rutwikdeshmukh_titanic-survival-predictions.html,rutwikdeshmukh,titanic-survival-predictions,"['pandas', 'numpy', 'seaborn', 'matplotlib', 'warnings', 'sklearn']",6
mihoku91_ensemble-learning-titanic.html,mihoku91,ensemble-learning-titanic,"['numpy', 'pandas', 'os', 'category_encoders', 'sklearn']",5
akkidhanani_titanic-dataset-apply-logistic-regression.html,akkidhanani,titanic-dataset-apply-logistic-regression,"['pandas', 'numpy', 'seaborn', 'matplotlib', 'sklearn']",5
qwordy_titanic.html,qwordy,titanic,"['numpy', 'pandas', 'os', 'seaborn', 'matplotlib', 'sklearn', 'keras']",7
